"filename", "language", "JavaScript", "HTML", "PHP", "XML", "JSON", "Markdown", "CSS", "SCSS", "Less", "YAML", "comment", "blank", "total"
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Providers/BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Providers/EventServiceProvider.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 5, 33
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Providers/FortifyServiceProvider.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 11, 7, 48
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Providers/JetstreamServiceProvider.php", "PHP", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 16, 9, 69
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/Providers/RouteServiceProvider.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 24, 9, 64
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/View/Components/AppLayout.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/app/View/Components/GuestLayout.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/bootstrap/app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/composer.json", "JSON", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 68
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/composer.lock", "JSON", 0, 0, 0, 0, 8559, 0, 0, 0, 0, 0, 0, 1, 8560
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/app.php", "PHP", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 121, 33, 239
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/auth.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 70, 15, 118
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/broadcasting.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 22, 13, 65
