Date : 2021-09-10 13:25:17
Directory : /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp
Total : 199 files,  70156 codes, 14855 comments, 7335 blanks, all 92346 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/js/bootstrap.js                                           | JavaScript |      1,549 |        191 |        578 |      2,318 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/bootstrap/js/bootstrap.min.js                                       | JavaScript |          2 |          5 |          0 |          7 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/css/font-awesome.css                                   | CSS        |      2,327 |         10 |          1 |      2,338 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/css/font-awesome.min.css                               | CSS        |          1 |          3 |          1 |          5 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/fonts/fontawesome-webfont.svg                          | XML        |      2,671 |          0 |          1 |      2,672 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/bordered-pulled.less                              | Less       |         11 |          2 |          4 |         17 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/core.less                                         | Less       |          8 |          2 |          2 |         12 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/fixed-width.less                                  | Less       |          4 |          2 |          1 |          7 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/font-awesome.less                                 | Less       |         12 |          4 |          2 |         18 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/icons.less                                        | Less       |        549 |          2 |          2 |        553 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/larger.less                                       | Less       |          9 |          3 |          2 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/list.less                                         | Less       |         16 |          2 |          2 |         20 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/mixins.less                                       | Less       |         20 |          2 |          4 |         26 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/path.less                                         | Less       |         10 |          3 |          2 |         15 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/rotated-flipped.less                              | Less       |         12 |          4 |          5 |         21 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/spinning.less                                     | Less       |         24 |          2 |          4 |         30 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/stacked.less                                      | Less       |         17 |          2 |          2 |         21 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/less/variables.less                                    | Less       |        555 |          3 |          4 |        562 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_bordered-pulled.scss                             | SCSS       |         11 |          2 |          4 |         17 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_core.scss                                        | SCSS       |          8 |          2 |          2 |         12 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_fixed-width.scss                                 | SCSS       |          4 |          2 |          1 |          7 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_icons.scss                                       | SCSS       |        549 |          2 |          2 |        553 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_larger.scss                                      | SCSS       |          9 |          3 |          2 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_list.scss                                        | SCSS       |         16 |          2 |          2 |         20 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_mixins.scss                                      | SCSS       |         20 |          2 |          4 |         26 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_path.scss                                        | SCSS       |         10 |          3 |          2 |         15 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_rotated-flipped.scss                             | SCSS       |         12 |          4 |          5 |         21 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_spinning.scss                                    | SCSS       |         24 |          2 |          4 |         30 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_stacked.scss                                     | SCSS       |         17 |          2 |          2 |         21 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/_variables.scss                                   | SCSS       |        555 |          3 |          4 |        562 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/font-awesome/scss/font-awesome.scss                                 | SCSS       |         12 |          4 |          2 |         18 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/public/nice/js/jquery-1.10.2.min.js                                             | JavaScript |          3 |          1 |          1 |          5 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/css/app.css                                                           | CSS        |          3 |          0 |          1 |          4 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/js/app.js                                                             | JavaScript |          4 |          0 |          4 |          8 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/js/bootstrap.js                                                       | JavaScript |          3 |         18 |          8 |         29 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/auth.php                                                      | PHP        |          6 |         10 |          5 |         21 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/pagination.php                                                | PHP        |          5 |         10 |          5 |         20 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/passwords.php                                                 | PHP        |          8 |         10 |          5 |         23 |
